id links
angang https://surfdrive.surf.nl/files/index.php/s/Gqh99whhDY0JetJ/download?path=%2Fracon_double_pilon_correction&files=Anguilla_anguilla_assembly_racon_and_double_pilon_corrected.fasta
cluhar ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/900/323/705/GCA_900323705.1_C.harengus/GCA_900323705.1_C.harengus_genomic.fna.gz
lamgut https://datadryad.org/bitstream/handle/10255/dryad.121075/fish_48.scf.fasta.gz
reggle https://datadryad.org/bitstream/handle/10255/dryad.121073/fish_47.scf.fasta.gz
poljap https://datadryad.org/bitstream/handle/10255/dryad.120620/fish_24.scf.fasta.gz
lepocu ftp://ftp.ensembl.org/pub/release-94/fasta/lepisosteus_oculatus/dna/Lepisosteus_oculatus.LepOcu1.dna.toplevel.fa.gz
guealt https://datadryad.org/bitstream/handle/10255/dryad.121077/fish_50.scf.fasta.gz
parfra https://datadryad.org/bitstream/handle/10255/dryad.120644/fish_42.scf.fasta.gz
astmex ftp://ftp.ensembl.org/pub/release-94/fasta/astyanax_mexicanus/dna/Astyanax_mexicanus.Astyanax_mexicanus-2.0.dna.toplevel.fa.gz
danrer ftp://ftp.ensembl.org/pub/release-94/fasta/danio_rerio/dna/Danio_rerio.GRCz11.dna.toplevel.fa.gz
eleele https://efishgenomics.integrativebiology.msu.edu/downloads/Genome-Ee/SSPACEgenomeLLT_454_10212014.fasta.gz
anates https://datadryad.org/bitstream/handle/10255/dryad.121139/fish_85.scf.fasta.gz
chaarg ftp://parrot.genomics.cn/gigadb/pub/10.5524/100001_101000/100279/Argus_liugm_genome.fa.gz
heltem https://datadryad.org/bitstream/handle/10255/dryad.121137/fish_84.scf.fasta.gz
chamel https://datadryad.org/bitstream/handle/10255/dryad.120642/fish_40.scf.fasta.gz
carmel /projects/454data/in_progress/60teleost/analysis/assemblies/Zuza/Came.ctg.fasta
seldor https://datadryad.org/bitstream/handle/10255/dryad.121141/fish_86.scf.fasta.gz
latcal ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/640/805/GCA_001640805.1_ASM164080v1/GCA_001640805.1_ASM164080v1_genomic.fna.gz
cynsem ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/523/025/GCF_000523025.1_Cse_v1.0/GCF_000523025.1_Cse_v1.0_genomic.fna.gz
